                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.4736,                   1.26,                 1.8359,                0.74711,                0.69395,                0.79124,                0.46942,                 1.4252,                 1.6098,                 1.9577,               0.007096,               0.007096,               0.007096
                     90,                 1.4862,                 1.2265,                 1.7678,                0.85062,                0.68327,                0.79016,                0.51013,                 1.3776,                 1.7306,                 1.9254,               0.007063,               0.007063,               0.007063
                     91,                 1.6199,                 1.3112,                 1.8826,                0.86919,                0.62278,                0.75455,                0.49328,                 1.3815,                 1.6959,                 1.9334,                0.00703,                0.00703,                0.00703
                     92,                 1.4665,                 1.3152,                 1.8226,                0.86388,                0.65498,                0.79332,                0.51016,                 1.4796,                 1.5334,                 2.0208,               0.006997,               0.006997,               0.006997
                     93,                 1.5766,                 1.3409,                 1.8926,                0.84874,                0.75882,                 0.8392,                0.54371,                 1.3774,                  1.293,                 1.9138,               0.006964,               0.006964,               0.006964
                     94,                 1.5909,                 1.3276,                 1.9169,                0.83291,                0.74506,                0.83315,                0.52292,                 1.4543,                 1.2968,                 1.9969,               0.006931,               0.006931,               0.006931
                     95,                 1.4556,                 1.1904,                 1.7787,                0.84657,                0.75445,                0.85277,                0.54547,                 1.3921,                 1.2049,                 1.9258,               0.006898,               0.006898,               0.006898
                     96,                 1.5061,                 1.1845,                 1.8183,                0.83721,                0.75041,                 0.8528,                0.57242,                 1.3243,                 1.1828,                   1.88,               0.006865,               0.006865,               0.006865
                     97,                 1.5098,                 1.2392,                 1.8014,                0.86263,                0.69276,                0.82815,                0.54742,                 1.3709,                 1.2578,                 1.9123,               0.006832,               0.006832,               0.006832
                     98,                  1.449,                 1.2132,                 1.7911,                 0.8977,                0.66548,                0.82583,                0.53385,                 1.3357,                 1.2343,                 1.8759,               0.006799,               0.006799,               0.006799
                     99,                 1.4702,                 1.2213,                 1.7763,                 0.8322,                0.77656,                0.85713,                0.55248,                  1.318,                 1.1692,                 1.8544,               0.006766,               0.006766,               0.006766
                    100,                 1.4956,                 1.2154,                 1.7584,                0.81371,                0.76512,                0.84568,                 0.5401,                 1.3088,                 1.1809,                 1.8538,               0.006733,               0.006733,               0.006733
                    101,                 1.4463,                 1.1615,                 1.7167,                0.80502,                0.74021,                0.82658,                0.52644,                  1.358,                 1.3456,                 1.9104,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.5051,                 1.2643,                  1.831,                0.78187,                0.76868,                0.84919,                0.56521,                 1.3303,                 1.2031,                 1.8901,               0.006667,               0.006667,               0.006667
                    103,                 1.4093,                 1.1477,                  1.707,                0.85603,                0.71946,                0.84339,                 0.5479,                 1.3499,                 1.3185,                 1.9261,               0.006634,               0.006634,               0.006634
                    104,                 1.4709,                 1.2211,                 1.8211,                0.74286,                0.75801,                0.82525,                0.54008,                 1.3131,                 1.1677,                 1.8699,               0.006601,               0.006601,               0.006601
                    105,                 1.4309,                 1.1654,                 1.7379,                0.79938,                0.76868,                0.85159,                0.56807,                 1.3446,                 1.2048,                 1.9218,               0.006568,               0.006568,               0.006568
                    106,                 1.4298,                 1.2219,                 1.7925,                0.87206,                0.70343,                0.83437,                0.53846,                 1.3744,                  1.279,                 1.9583,               0.006535,               0.006535,               0.006535
                    107,                 1.4437,                 1.1796,                 1.7478,                0.77937,                0.64111,                0.73424,                0.44042,                 1.5236,                 1.6211,                 2.0661,               0.006502,               0.006502,               0.006502
                    108,                  1.503,                  1.249,                 1.8762,                0.78839,                0.72922,                0.79753,                0.48879,                 1.4778,                 1.3121,                 2.0214,               0.006469,               0.006469,               0.006469
                    109,                 1.5154,                 1.2753,                 1.8601,                0.80294,                0.74733,                0.83076,                 0.5136,                  1.466,                 1.2209,                 1.9723,               0.006436,               0.006436,               0.006436
                    110,                 1.4431,                 1.2164,                  1.794,                0.88407,                0.78699,                0.88182,                0.58568,                 1.2798,                 1.1077,                 1.8315,               0.006403,               0.006403,               0.006403
